Tanggal,NTU_Manggar,PH_Manggar,NTU_Teritip,PH_Teritip
2014-01-01,9.63,6.82,,
2014-01-02,8.04,6.04,,
2014-01-03,8,6.01,,
2014-01-04,7.74,6.16,,
2014-01-05,8.71,6.03,,
2014-01-06,8.8,6.19,,
2014-01-07,9.08,6.25,,
2014-01-08,19.3,5.92,,
2014-01-09,12.7,6.02,,
2014-01-10,14.2,6.09,,
2014-01-11,15.5,6.21,,
2014-01-12,15.2,6.19,,
2014-01-13,15.3,5.91,,
2014-01-14,16.9,5.89,,
2014-01-15,14.7,6.05,,
2014-01-16,13.5,6.12,,
2014-01-17,12.8,6.25,,
2014-01-18,13.7,6.35,,
2014-01-19,16.5,6.25,,
2014-01-20,12.8,5.96,,
2014-01-21,10.7,6.82,,
2014-01-22,14.2,6.53,,
2014-01-23,16.4,6.49,,
2014-01-24,11.6,6.31,,
2014-01-25,11.8,6.47,,
2014-01-26,11.3,6.54,,
2014-01-27,14.8,6.14,,
2014-01-28,11.6,6.18,,
2014-01-29,9.01,6.43,,
2014-01-30,9.09,6.42,,
2014-01-31,8.62,6.54,,
2014-02-01,8.07,6.45,,
2014-02-02,7.78,6.3,,
2014-02-03,6.21,6.67,,
2014-02-04,6.85,6.43,,
2014-02-05,7.81,6.44,,
2014-02-06,6.36,6.68,,
2014-02-07,5.74,6.43,,
2014-02-08,5.39,6.36,,
2014-02-09,6.07,6.22,,
2014-02-10,5.97,6.24,,
2014-02-11,6.25,6.39,,
2014-02-12,5.79,6.26,,
2014-02-13,6.37,6.4,,
2014-02-14,6.14,6.3,,
2014-02-15,6.66,6.38,,
2014-02-16,6.05,6.16,,
2014-02-17,4.96,6.55,,
2014-02-18,5.66,6.32,,
2014-02-19,5.07,6.21,,
2014-02-20,5.29,6.08,,
2014-02-21,6.58,6.31,,
2014-02-22,5.81,6.28,,
2014-02-23,5.16,6.25,,
2014-02-24,4.77,6.48,,
2014-02-25,4.52,6.4,,
2014-02-26,4.5,6.42,,
2014-02-27,5.31,6.66,,
2014-02-28,6.24,6.46,,
2014-03-01,6.3,6.52,,
2014-03-02,6.25,6.4,,
2014-03-03,5.02,6.55,,
2014-03-04,4.44,6.67,,
2014-03-05,4.83,6.61,,
2014-03-06,7.14,6.64,,
2014-03-07,9.14,6.7,,
2014-03-08,9.5,6.23,,
2014-03-09,11.2,6.77,,
2014-03-10,11.8,6.52,,
2014-03-11,11.9,5.98,,
2014-03-12,10.9,6.47,,
2014-03-13,9.25,6.37,,
2014-03-14,7.74,6.53,,
2014-03-15,7.62,6.51,,
2014-03-16,8.14,6.28,,
2014-03-17,7.23,6.52,,
2014-03-18,7.65,6.04,,
2014-03-19,8.13,5.79,,
2014-03-20,9.45,5.88,,
2014-03-21,8.82,6.12,,
2014-03-22,10.3,6.16,,
2014-03-23,9.89,5.99,,
2014-03-24,9.77,6.14,,
2014-03-25,15.6,6.03,,
2014-03-26,8.15,5.91,,
2014-03-27,19.6,5.91,,
2014-03-28,8.59,6.08,,
2014-03-29,8.39,6.1,,
2014-03-30,8.08,6.14,,
2014-03-31,9.32,6.32,,
2014-04-01,9.45,5.94,,
2014-04-02,11.3,5.92,,
2014-04-03,11.9,6.21,,
2014-04-04,13,6.09,,
2014-04-05,13.7,6.29,,
2014-04-06,12.5,6.35,,
2014-04-07,8.28,6.12,,
2014-04-08,9.26,6.33,,
2014-04-09,8.79,6.72,,
2014-04-10,11.1,6.2,,
2014-04-11,12.6,6.22,,
2014-04-12,11.8,6.28,,
2014-04-13,7.11,6.54,,
2014-04-14,7.84,6.56,,
2014-04-15,6.73,6.27,,
2014-04-16,7.53,6.32,,
2014-04-17,6.67,6.03,,
2014-04-18,6.35,6.12,,
2014-04-19,7.19,6.31,,
2014-04-20,5.3,6.21,,
2014-04-21,6.3,6.02,,
2014-04-22,5.47,6.82,,
2014-04-23,5.23,6.68,,
2014-04-24,6.96,6.51,,
2014-04-25,7.56,5.82,,
2014-04-26,7.82,6.4,,
2014-04-27,7.52,6.61,,
2014-04-28,7.78,6.42,,
2014-04-29,6.58,6.64,,
2014-04-30,13.9,6.23,,
2014-06-01,5.78,6.27,,
2014-06-02,6.27,6.44,,
2014-06-03,6.9,5.66,,
2014-06-04,5.77,6.3,,
2014-06-05,6.17,6.32,,
2014-06-06,5.2,6.18,,
2014-06-07,5.73,6.41,,
2014-06-08,5.41,6.52,,
2014-06-09,4.93,6.72,,
2014-06-10,5.19,6.7,,
2014-06-11,5.34,5.23,,
2014-06-12,5.87,5.55,,
2014-06-13,6.16,5.61,,
2014-06-14,7.18,6.32,,
2014-06-15,8.32,6.09,,
2014-06-16,9.17,5.63,,
2014-06-17,12,5.85,,
2014-06-18,7.89,5.7,,
2014-06-19,8.13,6.31,,
2014-06-20,10.3,6.11,,
2014-06-21,10.3,5.98,,
2014-06-22,9.2,5.96,,
2014-06-23,11,5.95,,
2014-06-30,11.1,6.19,,
2014-07-01,12.3,6.22,,
2014-07-02,11.6,6.41,,
2014-07-03,14.7,6.64,,
2014-07-04,11.1,6.3,,
2014-07-05,11.4,6.39,,
2014-07-06,13,6.31,,
2014-07-07,13.1,6.89,,
2014-07-08,11.4,7.01,,
2014-07-09,10.8,6.16,,
2014-07-10,10.1,5.63,,
2014-07-11,13.2,6.11,,
2014-07-12,11,5.91,,
2014-07-13,11.02,6.49,,
2014-07-14,12.5,5.87,,
2014-07-15,10.2,6.59,,
2014-07-16,11.5,6.17,,
2014-07-17,11.4,6.18,,
2014-07-18,11,6.21,,
2014-07-19,11.2,6.43,,
2014-07-20,9.99,6.66,,
2014-07-21,10.8,6.38,,
2014-07-22,10.9,6.27,,
2014-07-23,9.33,6.32,,
2014-07-24,9.13,6.08,,
2014-07-26,9.27,6.18,,
2014-07-27,9.5,6.31,,
2014-07-28,8.32,6.33,,
2014-07-29,9.07,6.34,,
2014-07-30,9.92,6.39,,
2014-07-31,9.4,6.69,,
2014-08-01,9.29,6.8,,
2014-08-02,11.6,6.38,,
2014-08-03,12.4,6.54,,
2014-08-04,11.3,6.3,,
2014-08-05,10.8,6.19,,
2014-08-06,10.4,6.72,,
2014-08-07,9.95,6.73,,
2014-08-08,10.3,6.78,,
2014-08-09,12.1,6.6,,
2014-08-10,13.5,6.52,,
2014-08-11,10.5,6.64,,
2014-08-12,11.3,6.18,,
2014-08-13,11,6.49,,
2014-08-14,11.7,6.38,,
2014-08-15,12.5,6.46,,
2014-08-16,12,6.41,,
2014-08-17,13.2,6.43,,
2014-08-18,12.6,6.64,,
2014-08-19,12.8,6.51,,
2014-08-20,14.3,6.81,,
2014-08-21,14.7,6.56,,
2014-08-22,14.6,6.46,,
2014-08-23,14.5,6.57,,
2014-08-24,15.8,6.61,,
2014-08-25,23.8,6.23,,
2014-08-26,20.4,6.27,,
2014-08-27,21,6.27,,
2014-08-28,18.6,6.55,,
2014-08-29,18.7,5.61,,
2014-08-30,19.3,6.12,,
2014-08-31,18.6,6.38,,
2014-09-02,18.1,6.27,,
2014-09-03,18.1,6.39,,
2014-09-04,18.3,6.13,,
2014-09-05,19.1,6.46,,
2014-09-06,19.3,6.45,,
2014-09-07,20.5,6.21,,
2014-09-08,19.5,6.19,,
2014-09-09,17.5,6.12,,
2014-09-10,17.1,6.08,,
2014-09-11,17.3,6.03,,
2014-09-12,17.9,6.29,,
2014-09-13,18,6.37,,
2014-09-14,18.7,6.26,,
2014-09-15,19.3,5.86,,
2014-09-16,18.5,6.03,,
2014-09-17,18.4,5.71,,
2014-09-18,18.4,6.13,,
2014-09-19,20.2,5.91,,
2014-09-20,20.2,6.04,,
2014-09-21,21,5.91,,
2014-09-22,31.4,5.87,,
2014-09-23,21.6,6.73,,
2014-09-24,21.6,6.29,,
2014-09-25,22.8,6.02,,
2014-09-26,21.8,6.3,,
2014-09-27,20.4,6.94,,
2014-09-28,21.8,5.72,,
2014-09-29,21,6.22,,
2014-09-30,26.8,6.4,,
2014-10-01,20.8,6.2,,
2014-10-02,20.5,6.18,,
2014-10-03,20,6.08,,
2014-10-04,21.4,6.29,,
2014-10-05,25.6,6.22,,
2014-10-06,23.1,7.06,,
2014-10-07,31.8,6.97,,
2014-10-08,25.1,6.17,,
2014-10-09,23.7,6.13,,
2014-10-10,25,6.16,,
2014-10-11,26.7,5.91,,
2014-10-12,25.2,6.46,,
2014-10-13,28,6.89,,
2014-10-14,29.4,6.06,,
2014-10-15,29.2,5.96,,
2014-10-16,29.8,5.98,,
2014-10-17,29.2,6.63,,
2014-10-18,30.9,6.33,,
2014-10-19,33.4,6.48,,
2014-10-20,33.3,5.96,,
2014-10-21,35.7,6.09,,
2014-10-22,39.7,6.12,,
2014-10-23,40.4,6.01,,
2014-10-24,59.4,5.93,,
2014-10-25,36.4,6.41,,
2014-10-26,35.3,6.25,,
2014-10-27,35.7,5.99,,
2014-10-28,37.3,6.19,,
2014-11-01,45.4,6.02,,
2014-11-02,44.4,6.01,,
2014-11-03,44.5,6.29,,
2014-11-04,52.3,7.07,,
2014-11-05,88.7,6.19,,
2014-11-06,60.1,6.14,,
2014-11-07,62.1,6.17,,
2014-11-08,83.1,5.8,,
2014-11-09,65.9,6.19,,
2014-11-10,106,6.05,,
2014-11-11,85.2,6.1,,
2014-11-12,58.2,6.11,,
2014-11-13,54.8,5.85,,
2014-11-14,61.8,5.95,,
2014-11-15,60.1,6.09,,
2014-11-16,70.4,5.89,,
2014-11-17,56.2,5.81,,
2014-11-18,53.8,6.18,,
2014-11-19,64.4,5.96,,
2014-11-20,62.5,6.03,,
2014-11-21,62.2,6.16,,
2014-11-22,56.1,6.31,,
