Bulan,Sumur_01_Dalam_IPA,Sumur_02_Dalam_IPA,Sumur_03_Dalam_IPA,Sumur_04_Dalam_IPA,Sumur_05_Reservoar_Lama,Sumur_06_Telaga_Sari,Sumur_07_Marthadinata,Sumur_08_Transito
2015-01,20.916,57.636,,64.512,51.3,75.6,70.092,
2015-02,20.99,57.21,,65.08,51.17,75.57,70.08,
2015-03,20.32,53.38,,65.01,52.08,74.04,70.11,
2015-04,21.54,46.65,,64.45,50.27,72.8,69.5,
2015-05,20.74,56.32,,64.36,50.32,71.19,68.22,
2015-06,20.31,56.66,,64.46,50.32,71.36,68.99,
2015-07,20.5,52.18,,65.3,50.34,69.04,69.47,
2015-08,20.26,52.57,,61.69,48.15,71.19,68.22,
2015-09,19.62,52.94,,58.21,46.9,65.54,63.58,
2015-10,19.07,58.12,,63.05,49.07,69.16,65.73,
2015-11,20.11,57.82,,62.77,48.62,69.0,64.8,
2015-12,18.54,54.66,,60.07,49.23,68.74,65.55,
2016-01,21.3,54.89,,62.12,50.23,71.16,66.05,
2016-02,21.03,53.65,,61.69,49.85,71.22,70.55,
2016-03,21.55,56.68,,62.02,48.96,70.97,70.24,
2016-04,20.56,57.66,,63.35,50.11,70.57,68.36,
2016-05,20.15,58.02,,63.4,49.37,70.07,69.85,
2016-06,21.05,56.43,,62.14,51.22,69.98,68.49,
2016-07,22.13,60.69,,65.42,56.81,69.91,71.25,
2016-08,22.62,54.3,,62.38,55.21,70.47,72.56,
2016-09,21.55,56.68,,62.02,56.82,70.97,70.24,
2016-10,20.56,57.66,,63.35,50.11,70.57,68.36,
2016-11,17.56,35.96,,60.68,52.32,95.06,64.7,
2016-12,21.05,40.28,,65.74,54.87,95.88,70.25,
2017-01,20.5,40.21,,56.87,54.85,97.35,68.11,
2017-02,21.0,38.65,,59.22,53.89,99.65,70.25,
2017-03,23.54,39.78,,58.77,57.48,99.89,72.54,
2017-04,19.65,42.51,,60.25,55.87,98.47,70.88,
2017-05,20.14,45.31,,65.58,57.24,97.12,71.63,
2017-06,21.95,47.69,,62.15,51.41,99.63,70.96,
2017-07,21.71,48.65,,63.78,51.41,98.74,65.75,
2017-08,22.31,46.72,,70.48,54.99,100.1,61.82,
2017-09,22.5,50.25,,72.5,52.0,98.4,70.62,
2017-10,23.0,55.24,,92.5,58.65,99.58,72.4,
2017-11,23.54,60.5,,95.65,60.23,97.25,70.41,
2017-12,22.5,65.85,,97.3,58.24,95.68,75.87,
2018-01,22.35,58.62,,95.88,54.26,95.12,70.45,
2018-02,21.0,60.52,,97.58,51.24,97.6,65.78,
2018-03,22.5,65.2,,90.5,,99.24,70.12,
2018-04,21.54,62.35,,86.12,,99.56,75.41,
2018-05,21.3,60.51,,90.35,57.65,98.72,73.54,
2018-06,21.54,62.78,,96.32,58.65,96.85,70.12,
2018-07,20.12,60.25,,97.12,57.42,98.65,75.57,
2018-08,21.0,68.36,,97.58,58.62,99.57,70.14,
2018-09,22.0,70.21,,95.42,55.48,97.63,71.57,
2018-10,23.2,73.41,,99.18,,97.53,72.64,
2018-11,20.64,75.12,,97.02,57.25,99.63,,
2018-12,22.31,71.56,,96.32,,98.36,70.12,
2019-01,22.32,80.25,,94.23,,99.2,80.31,
2019-02,21.3,74.75,,117.79,,116.52,68.79,
2019-03,22.5,71.26,,110.0,58.23,109.85,75.26,
2019-04,22.0,72.5,,110.37,,115.25,70.27,
2019-05,22.5,72.1,,111.62,,115.2,72.56,
2019-06,22.69,71.56,,110.85,,115.349,72.4,
2019-07,22.45,70.16,,110.55,,114.32,71.29,
2019-08,22.14,70.35,,109.55,,115.24,73.84,
2019-09,21.56,70.65,,109.51,,112.23,72.9,
2019-10,23.14,69.24,,106.0,,110.85,70.53,
2019-11,22.18,54.77,114.51,97.23,53.77,105.42,82.59,
2019-12,21.46,56.63,113.65,98.33,52.14,106.88,82.14,84.57
2020-01,22.57,59.63,115.11,103.54,,107.54,86.281,85.69
2020-02,23.14,55.26,108.24,101.24,,110.26,80.48,86.1
2020-03,22.64,57.29,104.85,107.63,,109.21,78.73,84.82
2020-04,21.41,59.64,102.14,105.26,52.14,104.63,79.64,83.5
2020-05,22.14,60.53,104.33,106.52,,105.0,80.22,85.123
2020-06,24.21,,105.41,106.54,,106.23,79.56,85.9
2020-07,22.15,60.55,103.17,101.47,,104.68,78.23,85.99
2020-08,23.1,,103.5,102.45,,105.47,78.84,87.46
2020-09,23.5,60.12,104.23,101.36,,104.11,79.54,86.99
2020-10,23.46,62.35,101.44,100.21,,103.65,77.95,86.096
2020-11,22.56,62.3,102.66,99.69,,101.65,76.98,87.476
2020-12,23.68,,103.95,100.14,,102.42,77.33,86.682
2021-01,24.21,62.5,102.54,101.69,,100.32,78.62,85.362
2021-02,24.21,59.36,102.66,99.728,,97.36,79.63,87.56
2021-03,21.62,60.23,105.4,98.52,,103.54,82.41,87.18
2021-04,22.15,62.36,110.36,108.83,,105.54,85.74,87.18
2021-05,24.58,74.96,111.24,105.32,,100.21,85.78,87.26
