Bulan,Sumur_01_Dalam_IPA
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,
2015-08,
2015-09,
2015-10,15.47
2015-11,16.87
2015-12,
2016-01,15.87
2016-02,15.98
2016-03,
2016-04,16.0
2016-05,17.2
2016-06,16.97
2016-07,15.6
2016-08,15.98
2016-09,15.56
2016-10,16.0
2016-11,15.47
2016-12,15.0
2017-01,15.5
2017-02,15.6
2017-03,15.5
2017-04,15.7
2017-05,15.6
2017-06,16.97
2017-07,14.7
2017-08,14.5
2017-09,15.0
2017-10,15.5
2017-11,13.9
2017-12,13.8
2018-01,13.8
2018-02,14.0
2018-03,13.9
2018-04,13.9
2018-05,13.9
2018-06,14.0
2018-07,13.7
2018-08,18.0
2018-09,13.9
2018-10,18.0
2018-11,18.0
2018-12,14.0
2019-01,13.9
2019-02,18.0
2019-03,19.0
2019-04,19.0
2019-05,18.0
2019-06,18.5
2019-07,18.7
2019-08,17.9
2019-09,19.3
2019-10,19.0
2019-11,19.6
2019-12,19.0
2020-01,
2020-02,
2020-03,
2020-04,
2020-05,
2020-06,
2020-07,
2020-08,
2020-09,
2020-10,
2020-11,
2020-12,
2021-01,
2021-02,
2021-03,
2021-04,
2021-05,
2021-06,
2021-07,
2021-08,
2021-09,
2021-10,
2021-11,
2021-12,
2022-01,
2022-02,
2022-03,
2022-04,
2022-05,
2022-06,
2022-07,
2022-08,
2022-09,
2022-10,
2022-11,
2022-12,
2023-01,
2023-02,
2023-03,
2023-04,
2023-05,
2023-06,
2023-07,
2023-08,
2023-09,
2023-10,
2023-11,
2023-12,
2024-01,
2024-02,
2024-03,
2024-04,
2024-05,
2024-06,
2024-07,
2024-08,
2024-09,
2024-10,
2024-11,
2024-12,
2025-01,
2025-02,
2025-03,
2025-04,
2025-05,
2025-06,
2025-07,
2025-08,
2025-09,
2025-10,
2025-11,
2025-12,
2026-01,
2026-02,
2026-03,
2026-04,
2026-05,
2026-06,
