Bulan,Sumur_01_Dalam_Area_IPA,Sumur_02_SMA_3,Sumur_03_Kantor_LPM
2015-01,,,
2015-02,,,
2015-03,,,
2015-04,,,
2015-05,,,
2015-06,,,
2015-07,,,
2015-08,,,
2015-09,,,
2015-10,,,
2015-11,,,
2015-12,,,
2016-01,,,
2016-02,,,
2016-03,,,
2016-04,,,
2016-05,,,
2016-06,,,
2016-07,,,
2016-08,,,
2016-09,,,
2016-10,,,
2016-11,,,
2016-12,,,
2017-01,,,
2017-02,,,
2017-03,,,
2017-04,,,
2017-05,,,
2017-06,,,
2017-07,,,
2017-08,52.32,31.43,
2017-09,69.5,26.8,
2017-10,70.6,,
2017-11,70.3,,
2017-12,69.8,,
2018-01,54.7,,
2018-02,54.8,,
2018-03,56.8,,
2018-04,58.9,,
2018-05,59.2,,
2018-06,58.2,,
2018-07,56.5,,
2018-08,56.2,,
2018-09,56.8,,
2018-10,61.0,22.0,
2018-11,65.0,22.4,
2018-12,65.1,22.2,
2019-01,65.0,23.3,
2019-02,63.4,22.4,
2019-03,59.4,18.8,
2019-04,61.0,20.2,
2019-05,57.1,17.6,
2019-06,57.3,15.4,
2019-07,56.6,14.6,
2019-08,52.1,20.5,
2019-09,54.8,17.2,
2019-10,54.0,17.2,
2019-11,53.514,17.271,
2019-12,56.2,14.2,
2020-01,53.942,14.704,
2020-02,53.6,13.0,
2020-03,53.46,13.25,
2020-04,52.162,12.876,
2020-05,53.514,17.271,
2020-06,50.541,13.174,
2020-07,50.29,11.05,
2020-08,48.928,9.758,
2020-09,49.64,8.18,
2020-10,48.262,8.166,
2020-11,64.688,8.818,
2020-12,64.426,10.355,
2021-01,63.027,10.499,
2021-02,63.592,10.58,
2021-03,69.72,11.683,
2021-04,68.9,4.31,
2021-05,64.55,6.46,
2021-06,65.278,8.117,
2021-07,67.298,8.482,
2021-08,64.453,8.899,
2021-09,65.079,11.527,
2021-10,59.566,9.854,
2021-11,55.452,4.829,
2021-12,58.322,8.235,
2022-01,56.511,10.614,
2022-02,57.352,6.2,
2022-03,61.397,6.357,
2022-04,60.655,6.575,
2022-05,60.078,5.559,
2022-06,60.58,,
2022-07,58.75,,
2022-08,60.9,,
2022-09,56.07,11.055,
2022-10,69.304,13.511,
2022-11,57.42,9.706,
2022-12,67.042,17.316,
2023-01,59.306,14.151,
2023-02,61.687,14.164,
2023-03,68.233,14.327,
2023-04,66.148,11.819,
2023-05,55.992,7.331,
2023-06,55.433,5.967,
2023-07,57.377,10.993,
2023-08,46.16,6.092,
2023-09,57.371,11.956,
2023-10,56.067,11.234,
2023-11,58.323,11.061,
2023-12,59.779,11.213,
2024-01,59.306,14.151,
2024-02,52.244,9.045,
2024-03,55.397,9.591,
2024-04,56.657,9.363,
2024-05,56.08,9.327,
2024-06,56.659,8.442,
2024-07,56.362,8.399,
2024-08,55.278,9.793,
2024-09,53.204,8.583,
2024-10,52.358,8.569,
2024-11,53.121,7.859,
2024-12,54.232,6.328,
2025-01,52.941,5.665,
2025-02,53.931,4.806,
2025-03,55.358,9.206,
2025-04,59.07,10.81,
2025-05,62.017,13.262,
2025-06,62.78,12.21,
2025-07,64.332,11.839,
2025-08,61.633,8.099,
2025-09,62.074,8.007,
2025-10,59.347,10.988,
2025-11,54.477,11.916,33.099
2025-12,53.937,10.777,33.907
2026-01,55.452,9.437,35.457
2026-02,56.066,10.21,40.046
2026-03,56.659,9.753,41.324
2026-04,57.285,9.94,39.792
2026-05,57.964,9.867,38.859
2026-06,50.815,7.522,38.007
