Bulan,Sumur_01_Puskesmas,Sumur_02_Dalam_IPA,Sumur_03_Jl_Pahala
2015-01,96.084,83.376,
2015-02,95.76,88.02,
2015-03,91.66,85.61,
2015-04,97.03,85.08,
2015-05,93.76,84.86,
2015-06,93.58,84.48,
2015-07,88.38,83.98,
2015-08,87.08,83.08,
2015-09,86.31,86.06,
2015-10,89.01,85.55,
2015-11,91.84,83.9,
2015-12,92.45,82.63,
2016-01,89.9,85.21,
2016-02,84.84,82.8,
2016-03,87.23,82.54,
2016-04,88.23,86.0,
2016-05,90.84,84.02,
2016-06,89.55,86.24,
2016-07,100.09,91.46,
2016-08,94.52,90.66,
2016-09,91.47,86.55,
2016-10,95.2,85.0,
2016-11,102.5,83.77,
2016-12,100.23,85.63,
2017-01,85.66,100.2,
2017-02,87.54,98.23,
2017-03,95.66,85.91,
2017-04,99.3,93.68,
2017-05,94.58,90.71,
2017-06,90.86,89.57,
2017-07,93.77,86.32,
2017-08,92.49,91.15,
2017-09,92.83,90.35,
2017-10,95.14,88.47,
2017-11,95.15,89.25,
2017-12,94.55,89.2,
2018-01,93.77,86.32,
2018-02,93.81,84.94,
2018-03,89.24,79.42,
2018-04,87.59,86.28,
2018-05,90.54,85.24,
2018-06,88.823,75.63,
2018-07,89.42,83.98,
2018-08,89.28,87.95,
2018-09,89.24,79.42,
2018-10,86.69,83.36,
2018-11,88.99,84.8,
2018-12,87.73,82.34,
2019-01,85.19,79.04,
2019-02,83.02,71.79,
2019-03,87.91,80.69,
2019-04,95.09,93.75,
2019-05,96.55,94.96,
2019-06,97.42,95.19,
2019-07,96.56,91.82,
2019-08,95.78,89.77,
2019-09,94.88,91.75,
2019-10,95.51,91.37,63.95
2019-11,90.804,88.189,
2019-12,96.23,92.77,
2020-01,92.595,91.114,
2020-02,89.76,86.05,61.98
2020-03,86.51,83.23,
2020-04,92.286,82.635,60.056
2020-05,85.99,80.57,50.04
2020-06,82.857,80.324,54.074
2020-07,82.65,78.817,
2020-08,83.15,78.742,
2020-09,83.81,81.15,
2020-10,86.047,83.276,
2020-11,88.128,82.72,
2020-12,85.019,83.361,
2021-01,88.86,71.48,
2021-02,94.273,68.638,62.973
2021-03,86.75,78.654,
2021-04,98.18,97.89,32.04
2021-05,86.32,81.557,35.643
2021-06,89.079,82.444,
2021-07,86.723,82.417,
2021-08,93.357,89.141,54.836
2021-09,91.327,80.601,57.889
2021-10,92.419,88.676,
2021-11,94.898,91.062,
2021-12,96.13,89.499,
2022-01,88.86,88.786,
2022-02,87.165,82.84,
2022-03,100.952,95.446,56.072
2022-04,82.927,93.191,
2022-05,97.615,96.755,60.421
2022-06,,97.99,68.52
2022-07,,99.254,68.704
2022-08,,99.044,66.499
2022-09,90.249,84.174,
2022-10,,96.265,68.262
2022-11,,95.759,68.538
2022-12,,96.513,68.149
2023-01,,95.399,68.946
2023-02,,96.664,68.809
2023-03,,93.122,63.006
2023-04,91.842,94.024,61.631
2023-05,91.755,95.432,61.156
2023-06,,94.117,62.716
2023-07,,95.043,60.649
2023-08,,92.019,60.849
2023-09,,87.65,59.734
2023-10,,88.812,63.057
2023-11,,98.965,64.899
2023-12,,98.069,66.934
2024-01,97.319,95.821,64.677
2024-02,,97.844,64.249
2024-03,92.111,96.547,60.854
2024-04,89.381,90.608,59.071
2024-05,63.663,90.853,59.491
2024-06,94.314,92.623,60.4
2024-07,95.701,94.973,57.25
2024-08,89.466,90.132,57.852
2024-09,91.289,90.01,60.0
2024-10,90.728,91.371,
2024-11,92.399,90.859,
2024-12,93.424,93.44,
2025-01,94.663,94.221,
2025-02,90.576,62.226,47.163
2025-03,97.339,70.887,44.375
2025-04,94.281,88.035,
2025-05,93.693,88.792,
2025-06,94.28,89.3,
2025-07,93.469,87.911,
2025-08,92.981,85.734,
2025-09,97.662,79.961,
2025-10,97.559,88.335,47.355
2025-11,95.601,84.996,53.096
2025-12,95.943,84.936,54.676
2026-01,94.253,81.305,52.005
2026-02,84.908,76.56,59.478
2026-03,78.355,70.291,56.937
2026-04,78.954,71.174,48.916
2026-05,78.072,72.228,40.219
2026-06,86.214,84.052,44.735
