Bulan,Sumur_01_Dalam_IPA,Sumur_02_Jl_Belibis_V,Sumur_03_Koperasi_PTMB
2015-01,42.012,,
2015-02,42.96,,
2015-03,42.2,,
2015-04,41.52,,
2015-05,41.28,,
2015-06,37.3,,
2015-07,37.12,,
2015-08,38.12,,
2015-09,36.45,,
2015-10,36.3,,
2015-11,37.12,,
2015-12,36.58,,
2016-01,36.17,,
2016-02,37.54,,
2016-03,36.47,,
2016-04,38.5,,
2016-05,37.12,,
2016-06,40.5,,
2016-07,36.9,,
2016-08,23.5,24.0,
2016-09,,23.6,
2016-10,,24.21,
2016-11,,23.59,
2016-12,,23.5,
2017-01,,22.7,
2017-02,,23.0,
2017-03,,22.5,
2017-04,,22.2,
2017-05,,22.9,
2017-06,,22.6,
2017-07,,23.45,
2017-08,,23.0,
2017-09,,23.0,
2017-10,,22.8,
2017-11,,22.5,
2017-12,,22.3,
2018-01,,22.9,
2018-02,,22.5,
2018-03,,22.3,
2018-04,,21.9,
2018-05,,21.5,
2018-06,,22.2,
2018-07,,22.4,
2018-08,,22.1,
2018-09,,22.3,
2018-10,,,32.9
2018-11,,,33.0
2018-12,,,31.3
2019-01,,27.7,
2019-02,,30.7,
2019-03,23.9,30.2,
2019-04,30.4,35.1,
2019-05,30.7,35.4,
2019-06,33.3,34.2,
2019-07,39.4,30.4,
2019-08,37.4,39.3,
2019-09,35.7,39.6,
2019-10,14.8,22.9,
2019-11,15.257,22.707,
2019-12,23.0,24.1,
2020-01,,15.909,18.33
2020-02,,15.4,18.8
2020-03,,15.88,18.15
2020-04,,18.969,17.652
2020-05,,17.75,18.19
2020-06,,17.99,17.547
2020-07,,14.59,17.71
2020-08,,16.308,18.568
2020-09,,,28.4
2020-10,,,30.26
2020-11,,,29.88
2020-12,,,30.08
2021-01,,,29.409
2021-02,,,30.111
2021-03,,,28.715
2021-04,,0.0,29.11
2021-05,,8.38,26.46
2021-06,,10.252,25.777
2021-07,,10.61,25.573
2021-08,,10.644,25.553
2021-09,,8.665,24.034
2021-10,,8.751,23.149
2021-11,,9.194,24.811
2021-12,,9.718,24.781
2022-01,,9.708,25.027
2022-02,,10.12,25.353
2022-03,,10.769,25.535
2022-04,,10.431,25.162
2022-05,,11.206,24.417
2022-06,,12.98,25.03
2022-07,,12.386,26.203
2022-08,,11.017,25.415
2022-09,,9.713,25.022
2022-10,,9.522,26.036
2022-11,,8.255,26.124
2022-12,,5.565,25.254
2023-01,,5.872,21.703
2023-02,,5.886,24.039
2023-03,,5.994,23.039
2023-04,,6.205,27.626
2023-05,,6.111,26.728
2023-06,,6.916,27.9
2023-07,,6.905,28.962
2023-08,,7.035,30.417
2023-09,,6.868,29.316
2023-10,,6.993,28.326
2023-11,,6.021,27.306
2023-12,,5.847,25.688
2024-01,,5.872,21.703
2024-02,,6.049,26.325
2024-03,,6.241,29.082
2024-04,,8.163,28.489
2024-05,,8.603,29.104
2024-06,,8.098,27.254
2024-07,,9.149,25.112
2024-08,,9.569,26.145
2024-09,,9.701,26.713
2024-10,,9.897,29.754
2024-11,,9.397,29.969
2024-12,,10.003,29.744
2025-01,,10.099,29.993
2025-02,,10.362,29.055
2025-03,,10.9,28.966
2025-04,,10.243,28.988
2025-05,,10.467,28.778
2025-06,,9.41,28.14
2025-07,,9.5,27.952
2025-08,,9.448,27.882
2025-09,,9.407,28.314
2025-10,,9.749,29.747
2025-11,,9.919,29.393
2025-12,,9.834,28.715
2026-01,,9.92,29.65
2026-02,,9.734,29.958
2026-03,,9.43,28.848
2026-04,,9.248,28.558
2026-05,,11.269,31.595
2026-06,,11.312,7.579
