Bulan,Sumur_1_Dalam_IPA_Statis,Sumur_1_Dalam_IPA_Dinamis,Sumur_2_Dalam_IPA_Statis,Sumur_2_Dalam_IPA_Dinamis,Sumur_3_Dalam_IPA_Statis,Sumur_3_Dalam_IPA_Dinamis,Sumur_4_Dalam_IPA_Statis,Sumur_4_Dalam_IPA_Dinamis,Sumur_5_Reservoar_Lama_Statis,Sumur_5_Reservoar_Lama_Dinamis,Sumur_6_Telaga_Sari_Statis,Sumur_6_Telaga_Sari_Dinamis,Sumur_7_Marthadinata_Statis,Sumur_7_Marthadinata_Dinamis,Sumur_8_Transito_Statis,Sumur_8_Transito_Dinamis
2016-01,,,,,8.28,,,,,52.91,,22.64,,24.7,10.06,11.07
2016-02,,,,,8.28,,,,,53.05,,23.87,,24.85,9.89,12.15
2016-03,,,,,8.28,,,,,51,,24.5,,26.9,10,14.23
2016-04,,,,,8.28,,,,,53,,23,,25.97,10,18.4
2016-05,,,,,8.28,,,,48,57,,24,,25,10,18
2016-06,,,,,8.28,,,,48,57,,24,,25,10,18
2016-07,,,,,8.28,,,,48,57,,24,,25,10,18
2016-08,,,,,8.28,,,,48,54,,23,,25,10,17
2016-09,,,,,8.28,,,,48,54,,23,,25,10,17
2016-10,,,,,8.28,,,,48,54,,23,26,27.5,10,17
2016-11,,,,,8.28,,,,48,54,,23,26,27.5,10,17
2016-12,,,,,8.28,,,,48,54,,23,26,27.5,10,17
2017-01,,,,,8.28,,,,48,54,,23,26,27.5,10,17
2017-02,,,,,8.28,,,,48,54,,23,26,27.5,10,17
2017-03,8.14,,,,8.28,,,,48,54,,23,26,27.5,10,17
2017-04,8.14,,,,8.28,,,,48,54,,23,26,27.5,10,17
2017-05,8.14,,,,8.28,,8.4,,48,54,,23,26,27.5,10,17
2017-06,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2017-07,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2017-08,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2017-09,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2017-10,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2017-11,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2017-12,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2018-01,,,9,,8.28,,8.4,,48,57,,24,,25,10,18
2018-02,,,,,8.28,,8.4,,48,57,,24,,25,10,18
2018-03,,,9,,8.28,,8.4,,47,54,19,23,26,27,10,17
2018-04,,,9,,8.28,,8.4,,47,54,19,23,26,27,10,17
2018-05,,,9,,8.28,,8.4,,47,54,19,23,26,27,10,17
2018-06,,,9,,8.28,,8.4,,47,54,19,23,26,27,10,17
2018-07,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2018-08,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2018-09,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2018-10,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2018-11,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2018-12,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2019-01,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2019-02,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2019-03,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2019-04,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
2019-05,9,,8.28,,8.4,,47,54,19,23,26,27,10,17,,
