Bulan,Sumur_4_Dalam_IPA_Statis,Sumur_4_Dalam_IPA_Dinamis,Sumur_6_Luar_IPA_Statis,Sumur_6_Luar_IPA_Dinamis,Sumur_7_Luar_IPA_Statis,Sumur_7_Luar_IPA_Dinamis,Sumur_10_Luar_IPA_Statis,Sumur_10_Luar_IPA_Dinamis,Sumur_14_Dalam_IPA_Statis,Sumur_14_Dalam_IPA_Dinamis,Sumur_15_Luar_IPA_Statis,Sumur_15_Luar_IPA_Dinamis,Sumur_16_Luar_IPA_Statis,Sumur_16_Luar_IPA_Dinamis,Sumur_17_Luar_IPA_Statis,Sumur_17_Luar_IPA_Dinamis,Sumur_18_Dalam_IPA_Statis,Sumur_18_Dalam_IPA_Dinamis
2016-01,38,,,,40,,37,,40,,35,,,,37,69.25,64.7,74.6
2016-02,38,,,,40,,37,,40,,35,,25,,37,70.5,40,75
2016-03,38,,,,40,,37,,40,,35,,25,,37,72.5,40,77.28
2016-04,38,,,,40,,37,,40,,35,,25,,37,70,40,75
2016-05,38,,,,40,,37,,40,,35,,25,,37,70,40,75
2016-06,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2016-07,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2016-08,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2016-09,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2016-10,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2016-11,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2016-12,38,,,,40,,36,,40,,35,,25,,46,77,40,75
2017-01,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-02,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-03,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-04,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-05,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-06,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-07,38,,,,40,,41,,40,,35,,25,,46,77,40,75
2017-08,38,,,,40,,41,,40,,35,,25,,46,77,40,75
